type,group,variant_id,title,hypothesis,total_return_pct,annualized_return_pct,max_drawdown_pct,trade_count,open_count,add_count,reduce_count,exit_count,replacement_frequency,final_asset,total_execution_cost,daily_loop_sec,scoring_sec,allocation_execution_sec
single_factor,动量权重组,G1_A,短动量加强,提高 5 日和 10 日动量权重，观察 4000 小资金是否更容易出现可执行信号。,12.03,10.57,-7.14,96,28,7,38,23,0.0,4481.31,130.25,57.2859,3.9068,51.6765
single_factor,动量权重组,G1_B,主趋势加强,提高 20 日动量权重，观察更稳的主趋势锚是否减少无效切换。,12.77,11.22,-6.69,94,27,8,37,22,0.0,4510.97,128.08,57.654,3.9978,51.8587
single_factor,趋势过滤组,G2_A,降低最低候选阈值,用更低的正式候选阈值测试当前系统是不是太难形成目标组合。,12.27,10.78,-7.3,104,29,11,40,24,0.0,4490.78,141.46,62.7496,3.9089,57.1372
single_factor,趋势过滤组,G2_B,提高最低候选阈值,用更高的正式候选阈值验证当前无交易是否来自严格的候选层过滤。,12.24,10.75,-6.72,89,27,6,34,22,0.0,4489.67,121.33,50.2591,3.8618,44.7168
single_factor,通道A/B组,G3_A,回撤反弹优先,扩大回撤区间、抬高突破门槛，测试回调买入是否更适合当前区间。,13.41,11.77,-7.72,102,28,11,41,22,0.0,4536.44,140.28,57.6274,3.9812,51.9068
single_factor,通道A/B组,G3_B,强趋势突破优先,缩窄回撤区间、降低突破门槛，测试强势突破是否能更快形成可执行仓位。,4.99,4.4,-7.05,117,31,15,46,25,0.0,4199.55,157.28,57.1959,3.9081,51.4447
single_factor,相对强弱组,G4_A,强化相对强弱,更强调 relative_strength_10d，观察系统是否更容易抓到同类龙头。,13.04,11.44,-6.67,99,28,9,39,23,0.0,4521.46,134.47,56.4267,3.8734,50.8624
single_factor,相对强弱组,G4_B,弱化相对强弱,降低 relative_strength_10d 的影响，观察系统是否更稳但更慢。,13.04,11.44,-6.67,99,28,9,39,23,0.0,4521.46,134.47,56.8593,3.9196,51.1643
single_factor,风险控制组,G5_A,强化低波低回撤过滤,更强调低波和低回撤，验证是否能减少短周期噪音开仓。,13.04,11.44,-6.67,99,28,9,39,23,0.0,4521.46,134.47,58.8006,4.0149,52.9577
single_factor,风险控制组,G5_B,放松低波低回撤过滤,减弱低波和低回撤过滤，观察当前系统是否因为风控过强而长期空仓。,13.04,11.44,-6.67,99,28,9,39,23,0.0,4521.46,134.47,58.6307,4.0203,52.7793
single_factor,REDUCE组,G6_A,轻减仓,趋势转弱时只减到 70%，测试是否能保留更多趋势延续收益。,13.83,12.14,-7.0,99,28,10,37,24,0.0,4553.27,133.45,59.4926,4.0021,53.5868
single_factor,REDUCE组,G6_B,重减仓,趋势转弱时只保留 30%，测试是否能更快控制回撤。,11.23,9.86,-7.13,93,28,9,39,17,0.0,4449.06,131.09,56.489,3.8675,50.9241
single_factor,交易摩擦组,G7_A,低交易摩擦,降低滑点和执行成本，判断策略是否主要被摩擦成本吞掉。,13.68,12.01,-6.58,102,29,9,41,23,0.0,4547.39,116.74,58.034,3.9613,52.2725
single_factor,交易摩擦组,G7_B,高交易摩擦,抬高滑点和执行成本，验证收益是否对交易摩擦高度敏感。,11.8,10.36,-6.76,101,28,10,40,23,0.0,4471.97,171.88,58.2531,3.9927,52.5131
single_factor,替换与保护组,G8_A,加快换仓,降低替换阈值和最短持有期，观察是否能更快切到新龙头。,13.03,11.44,-6.67,98,28,8,39,23,0.0,4521.12,133.37,57.4076,3.9583,51.638
single_factor,替换与保护组,G8_B,增强保护,提高替换阈值和最短持有期，观察是否能减少频繁切换。,13.38,11.74,-6.66,98,28,8,39,23,0.0,4535.22,133.49,56.918,3.839,51.2495
single_factor,仓位组,G9_A,更集中,提高单票上限并降低最小正式持仓权重，测试 4000 小资金是否更容易形成有效仓位。,12.43,10.92,-8.87,102,28,13,38,23,0.0,4497.21,145.38,56.796,3.8648,51.2397
single_factor,仓位组,G9_B,更分散,降低单票上限并提高最小正式持仓权重，观察是否进一步压缩可执行信号。,10.21,8.98,-4.12,92,28,9,32,23,0.0,4408.47,116.38,61.1275,4.181,55.0302
single_factor,货币ETF防守切换组,G10_A,机会成本优先,更强调外部机会成本，测试货币 ETF 是否会更早让位给进攻仓。,13.04,11.44,-6.67,99,28,9,39,23,0.0,4521.46,134.47,59.0898,4.021,53.3071
single_factor,货币ETF防守切换组,G10_B,市场切换优先,更强调整体市场切换，测试货币 ETF 是否更愿意等待环境确认。,13.04,11.44,-6.67,99,28,9,39,23,0.0,4521.46,134.47,60.8684,4.1476,54.9089
single_factor,time_decay对照组,G11_A,去掉 time_decay,验证 time_decay 对当前短周期滚动复利框架是否有必要。,13.04,11.44,-6.67,99,28,9,39,23,0.0,4521.46,134.47,59.1757,4.0323,53.276
single_factor,time_decay对照组,G11_B,强化 time_decay,提高各进攻类别的 time_decay，测试持有时长是否会显著推高退出频率。,13.04,11.44,-6.67,99,28,9,39,23,0.0,4521.46,134.47,64.0885,4.3764,57.7029
combo,组合复核,COMBO_TOP,单因素最优组合,组合来源：G6_A + G7_A + G3_A,18.25,15.98,-7.27,96,28,10,34,24,0.0,4730.2,109.8,61.2482,4.1469,55.2887
